account,uid_city,result,city,currency,chart_of_account,country_iso,date,identifier
301,24123,17513366.57,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
302,951,0,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
302,258,0,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
302,471,0,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
302,441,0,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
302,3686,0,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
302,3313,0,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,2654,0,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
302,12636,0,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1360,0,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
302,112,0,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
302,7319,0,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
302,522,0,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
302,106,0,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
302,425,0,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
302,350,0,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
302,733,0,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
302,270,0,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
302,417,0,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
302,3285,0,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
302,308,0,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1258,0,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1524,0,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,87,0,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
302,156,0,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
302,510,0,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
302,705,0,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,551,0,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
302,511,0,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1902,4625,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
302,2575,0,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
302,228,0,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
302,118,0,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1882,0,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1114,0,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1217,0,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
302,117,0,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1205,0,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
302,625,0,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
302,631,0,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1275,0,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
302,718,0,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1018,0,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
302,293,0,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
302,2435,0,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
302,786,0,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,184,0,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
302,333,0,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1674,0,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
302,391,0,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
302,1052,0,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
302,186,0,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
302,6441,0,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
302,546,0,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
302,73865,4625,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
302,39309,0,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
302,10433,4625,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
302,24123,0,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
303,951,0,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
303,258,0,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
303,471,0,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
303,441,0,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
303,3686,0,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
303,3313,0,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,2654,0,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
303,12636,0,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1360,3679.75,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
303,112,0,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
303,7319,0,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
303,522,0,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
303,106,0,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
303,425,0,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
303,350,0,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
303,733,0,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
303,270,0,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
303,417,0,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
303,3285,0,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
303,308,0,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1258,0,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1524,0,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,87,0,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
303,156,0,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
303,510,0,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
303,705,0,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,551,0,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
303,511,0,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1902,0,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
303,2575,0,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
303,228,0,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
303,118,0,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1882,0,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1114,0,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1217,3431.25,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
303,117,0,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1205,0,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
303,625,0,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
303,631,0,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1275,0,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
303,718,348,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1018,0,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
303,293,0,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
303,2435,0,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
303,786,225,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,184,0,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
303,333,0,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1674,0,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
303,391,0,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
303,1052,0,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
303,186,0,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
303,6441,0,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
303,546,0,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
303,73865,7684,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
303,39309,3679.75,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
303,10433,0,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
303,24123,4004.25,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
304,951,0,Boécourt,CHF,MCH2,CH,31.12.2022,to_be_defined
304,258,0,Bourrignon,CHF,MCH2,CH,31.12.2022,to_be_defined
304,471,0,Châtillon,CHF,MCH2,CH,31.12.2022,to_be_defined
304,441,0,Courchapoix,CHF,MCH2,CH,31.12.2022,to_be_defined
304,3686,0,Courrendlin,CHF,MCH2,CH,31.12.2022,to_be_defined
304,3313,17914.6,Courroux,CHF,MCH2,CH,31.12.2022,to_be_defined
304,2654,0,Courtételle,CHF,MCH2,CH,31.12.2022,to_be_defined
304,12636,0,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1360,0,Develier,CHF,MCH2,CH,31.12.2022,to_be_defined
304,112,0,Ederswiler,CHF,MCH2,CH,31.12.2022,to_be_defined
304,7319,0,Haute-Sorne,CHF,MCH2,CH,31.12.2022,to_be_defined
304,522,0,Mervelier,CHF,MCH2,CH,31.12.2022,to_be_defined
304,106,0,Mettembert,CHF,MCH2,CH,31.12.2022,to_be_defined
304,425,0,Movelier,CHF,MCH2,CH,31.12.2022,to_be_defined
304,350,0,Pleigne,CHF,MCH2,CH,31.12.2022,to_be_defined
304,733,0,Rossemaison,CHF,MCH2,CH,31.12.2022,to_be_defined
304,270,0,Saulcy,CHF,MCH2,CH,31.12.2022,to_be_defined
304,417,0,Soyhières,CHF,MCH2,CH,31.12.2022,to_be_defined
304,3285,0,Val Terbi,CHF,MCH2,CH,31.12.2022,to_be_defined
304,308,0,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1258,0,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
304,1524,0,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
304,87,0,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
304,156,0,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
304,510,0,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
304,705,0,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
304,551,0,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
304,511,0,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
