account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
302,Saint-Brais,0,266758,228,CHF,MCH2,CH,31.12.2022
302,Soubey,0,266759,118,CHF,MCH2,CH,31.12.2022
302,Alle,0,266771,1882,CHF,MCH2,CH,31.12.2022
302,La Baroche,0,266810,1114,CHF,MCH2,CH,31.12.2022
302,Basse-Allaine,0,266807,1217,CHF,MCH2,CH,31.12.2022
302,Boncourt,0,266774,1205,CHF,MCH2,CH,31.12.2022
302,Bure,0,266778,631,CHF,MCH2,CH,31.12.2022
302,Clos du Doubs,0,266808,1275,CHF,MCH2,CH,31.12.2022
302,Coeuve,0,266781,718,CHF,MCH2,CH,31.12.2022
302,Cornol,0,266782,1018,CHF,MCH2,CH,31.12.2022
302,Courchavon,0,266783,293,CHF,MCH2,CH,31.12.2022
302,Courgenay,0,266784,2435,CHF,MCH2,CH,31.12.2022
302,Courtedoux,0,266785,786,CHF,MCH2,CH,31.12.2022
302,Fahy,0,266789,333,CHF,MCH2,CH,31.12.2022
302,Fontenais,0,266790,1674,CHF,MCH2,CH,31.12.2022
302,Grandfontaine,0,266792,391,CHF,MCH2,CH,31.12.2022
302,Haute-Ajoie,0,266809,1052,CHF,MCH2,CH,31.12.2022
302,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
302,Vendlincourt,0,266806,546,CHF,MCH2,CH,31.12.2022
302,Delémont,0,266711,39309,CHF,MCH2,CH,31.12.2022
302,Porrentruy,0,266800,24123,CHF,MCH2,CH,31.12.2022
303,Boécourt,0,266702,951,CHF,MCH2,CH,31.12.2022
303,Bourrignon,0,266703,258,CHF,MCH2,CH,31.12.2022
303,Courchapoix,0,266706,441,CHF,MCH2,CH,31.12.2022
303,Courrendlin,0,266708,3686,CHF,MCH2,CH,31.12.2022
303,Courroux,0,266709,3313,CHF,MCH2,CH,31.12.2022
303,Courtételle,0,266710,2654,CHF,MCH2,CH,31.12.2022
303,Delémont,0,266711,39309,CHF,MCH2,CH,31.12.2022
